image,H,edge,grad,Kstar
kodim01.png,5.56053101896252,0.09999593098958333,719.3074731826782,32
kodim02.png,4.0060603588533015,0.09996287027994792,135.6536432902018,64
kodim03.png,6.562375137069348,0.09999847412109375,147.7567860285441,128
kodim04.png,6.610140208095663,0.09992472330729167,177.6497122446696,128
kodim05.png,7.049447985446498,0.09999338785807292,852.9432986577352,64
kodim06.png,6.085251530630834,0.10000101725260417,469.8861440022786,64
kodim07.png,6.109890389470541,0.09992218017578125,285.4817892710368,64
kodim08.png,6.910418883751345,0.09999338785807292,1358.1578019460042,64
kodim09.png,5.463920553626332,0.09997304280598958,276.045734723409,64
kodim10.png,5.797486462474931,0.09998575846354167,242.6082960764567,128
kodim11.png,6.136056615771593,0.09995269775390625,360.6665789286296,64
kodim12.png,5.789937941931246,0.0999298095703125,213.16461626688638,64
kodim13.png,6.515990499802038,0.10000101725260417,929.7142588297526,32
kodim14.png,6.793227231133143,0.10000101725260417,421.8082281748454,64
kodim15.png,6.520000042568876,0.09998067220052083,264.72470569610596,128
kodim16.png,5.662782696787256,0.09999593098958333,191.9222002029419,64
kodim17.png,5.691801060860393,0.09999847412109375,224.82102266947427,64
kodim18.png,6.739016574446941,0.10000101725260417,453.68913173675537,128
kodim19.png,6.138384691214847,0.09999593098958333,510.13084506988525,64
kodim20.png,4.955431237177315,0.09996795654296875,302.12134075164795,64
kodim21.png,5.998156903684174,0.09999338785807292,443.61224460601807,64
kodim22.png,6.816783332173918,0.09997049967447917,263.1978317896525,128
kodim23.png,7.67753359786354,0.09992726643880208,164.61931705474854,256
kodim24.png,6.303601753118732,0.10000101725260417,530.0454088846842,64
